Designator,Mid X,Mid Y,Rotation,Layer
D40,117.5,-115.8,90.0,bottom
D41,136.5,-115.5,90.0,bottom
D42,147.15,-107.925,0.0,bottom
D43,196.29,-116.0,90.0,bottom
D44,215.265,-115.8,90.0,bottom
D45,234.315,-115.9,90.0,bottom
D46,251.2,-115.7,90.0,bottom
D47,272.415,-113.5856,90.0,bottom
D5,136.6,-58.2,90.0,bottom
D6,156.1,-58.5,90.0,bottom
D7,174.6,-58.6,90.0,bottom
D8,194.0,-58.7,90.0,bottom
D9,212.8,-58.6,90.0,bottom
F2,84.9,-64.605001,270.0,bottom
J2,81.8,-48.045,180.0,bottom
R1,90.47,-79.72,315.0,bottom
R10,83.486875,-54.701875,90.0,bottom
R11,98.39,-86.9,180.0,bottom
R12,162.235,-119.2,180.0,bottom
R13,79.379376,-87.479376,225.0,bottom
R2,89.73,-78.97,315.0,bottom
R8,93.6,-87.61,270.0,bottom
R9,80.629375,-54.701875,90.0,bottom
SW1,56.9438,-53.9687,180.0,bottom
SW10,228.3938,-53.9687,180.0,bottom
SW11,247.4438,-53.9687,180.0,bottom
SW12,262.1438,-55.5687,0.0,bottom
SW13,56.9438,-73.0187,180.0,bottom
SW14,76.2188,-71.1937,180.0,bottom
SW15,95.2688,-71.1937,180.0,bottom
SW16,114.0938,-73.0187,180.0,bottom
SW17,133.1438,-73.0187,180.0,bottom
SW18,152.1938,-73.0187,180.0,bottom
SW19,171.2438,-73.0187,180.0,bottom
SW2,71.4188,-57.3937,0.0,bottom
SW20,190.2938,-73.0187,180.0,bottom
SW21,209.3438,-73.0187,180.0,bottom
SW22,228.3938,-73.0187,180.0,bottom
SW23,247.4438,-73.0187,180.0,bottom
SW24,262.1438,-74.6187,0.0,bottom
SW25,56.9438,-92.0687,180.0,bottom
SW26,71.4188,-95.4937,0.0,bottom
SW27,90.4688,-95.4937,0.0,bottom
SW28,109.7438,-93.6687,0.0,bottom
SW29,133.1438,-92.0687,180.0,bottom
SW3,95.0438,-53.9687,180.0,bottom
SW30,152.1938,-92.0687,180.0,bottom
SW31,171.2438,-92.0687,180.0,bottom
SW32,190.2938,-92.0687,180.0,bottom
SW33,209.3438,-92.0687,180.0,bottom
SW34,228.3938,-92.0687,180.0,bottom
SW35,247.4438,-92.0687,180.0,bottom
SW36,262.1438,-93.6687,0.0,bottom
SW37,56.9438,-111.1187,180.0,bottom
SW38,75.9938,-111.1187,180.0,bottom
SW39,95.0438,-111.1187,180.0,bottom
SW4,114.0938,-53.9687,180.0,bottom
SW40,114.0938,-111.1187,180.0,bottom
SW41,133.1438,-111.1187,180.0,bottom
SW42,147.8438,-112.7187,0.0,bottom
SW43,190.2938,-111.1187,180.0,bottom
SW44,209.3438,-111.1187,180.0,bottom
SW45,228.3938,-111.1187,180.0,bottom
SW46,247.4438,-111.1187,180.0,bottom
SW47,262.1438,-112.7187,0.0,bottom
SW48,105.525,-87.7,270.0,bottom
SW5,133.1438,-53.9687,180.0,bottom
SW6,152.1938,-53.9687,180.0,bottom
SW7,171.2438,-53.9687,180.0,bottom
SW8,190.2938,-53.9687,180.0,bottom
SW9,209.3438,-53.9687,180.0,bottom
U1,86.407798,-84.669157,45.0,bottom
U2,96.149999,-84.795999,90.0,bottom
U3,166.6738,-111.9187,180.0,bottom
U4,99.9,-82.3375,90.0,bottom
U5,81.650001,-64.8575,270.0,bottom
U6,155.875,-110.5,0.0,bottom
Y1,76.961142,-88.293223,45.0,bottom
